consumo_id,registro_id,fila_origen,cliente_producto_id,cliente_id,producto,fecha_consumo,categoria_consumo,monto_consumo,canal,consumo_outlier_iqr
CON-006244,REG-006244,6244,C001608__TARJETA_CREDITO,C001608,Tarjeta de Crédito,2025-01-03,Streaming,417.64,POS,True
CON-006280,REG-006280,6280,C000427__TARJETA_CREDITO,C000427,Tarjeta de Crédito,2025-01-03,Entertainment,204.38,App,False
CON-006810,REG-006810,6810,C000720__TARJETA_CREDITO,C000720,Tarjeta de Crédito,2025-01-03,Streaming,38.34,POS,False
CON-007178,REG-007178,7178,C001213__TARJETA_CREDITO,C001213,Tarjeta de Crédito,2025-01-03,Travel,18.01,POS,False
CON-007998,REG-007998,7998,C001082__TARJETA_CREDITO,C001082,Tarjeta de Crédito,2025-01-03,Food,58.58,App,False
CON-008686,REG-008686,8686,C000694__TARJETA_CREDITO,C000694,Tarjeta de Crédito,2025-01-03,Entertainment,1178.15,Branch,True
CON-012835,REG-012835,12835,C001174__TARJETA_CREDITO,C001174,Tarjeta de Crédito,2025-01-03,Others,32.62,POS,False
CON-013392,REG-013392,13392,C001556__TARJETA_CREDITO,C001556,Tarjeta de Crédito,2025-01-03,Health,514.17,POS,True
CON-016608,REG-016608,16608,C001064__TARJETA_CREDITO,C001064,Tarjeta de Crédito,2025-01-03,Fuel,46.55,POS,False
CON-017659,REG-017659,17659,C001719__TARJETA_CREDITO,C001719,Tarjeta de Crédito,2025-01-03,Food,28.37,POS,False
CON-018174,REG-018174,18174,C001661__TARJETA_CREDITO,C001661,Tarjeta de Crédito,2025-01-03,Fuel,684.70,App,True
CON-018731,REG-018731,18731,C001888__TARJETA_CREDITO,C001888,Tarjeta de Crédito,2025-01-03,Entertainment,7.43,App,False
CON-019766,REG-019766,19766,C001823__TARJETA_CREDITO,C001823,Tarjeta de Crédito,2025-01-03,Entertainment,12.25,POS,False
CON-000058,REG-000058,58,C001905__TARJETA_CREDITO,C001905,Tarjeta de Crédito,2025-01-04,Food,518.98,POS,True
CON-000063,REG-000063,63,C002185__TARJETA_CREDITO,C002185,Tarjeta de Crédito,2025-01-04,Streaming,136.54,POS,False
CON-000141,REG-000141,141,C001233__TARJETA_CREDITO,C001233,Tarjeta de Crédito,2025-01-04,Travel,1223.25,POS,True
CON-000278,REG-000278,278,C001171__TARJETA_CREDITO,C001171,Tarjeta de Crédito,2025-01-04,Supermarket,29.02,POS,False
CON-005148,REG-005148,5148,C000239__TARJETA_CREDITO,C000239,Tarjeta de Crédito,2025-01-04,Technology,204.44,POS,False
CON-005199,REG-005199,5199,C001131__TARJETA_CREDITO,C001131,Tarjeta de Crédito,2025-01-04,Streaming,54.15,POS,False
CON-006035,REG-006035,6035,C001837__TARJETA_CREDITO,C001837,Tarjeta de Crédito,2025-01-04,Food,273.80,App,False
CON-007789,REG-007789,7789,C002005__TARJETA_CREDITO,C002005,Tarjeta de Crédito,2025-01-04,Travel,48.71,Branch,False
CON-008827,REG-008827,8827,C001617__TARJETA_CREDITO,C001617,Tarjeta de Crédito,2025-01-04,Travel,24.49,ATM,False
CON-010203,REG-010203,10203,C000718__TARJETA_CREDITO,C000718,Tarjeta de Crédito,2025-01-04,Supermarket,194.29,App,False
CON-011387,REG-011387,11387,C001217__TARJETA_CREDITO,C001217,Tarjeta de Crédito,2025-01-04,Health,193.67,POS,False
CON-012361,REG-012361,12361,C000523__TARJETA_CREDITO,C000523,Tarjeta de Crédito,2025-01-04,Technology,18.45,POS,False
CON-012443,REG-012443,12443,C000432__TARJETA_CREDITO,C000432,Tarjeta de Crédito,2025-01-04,Education,106.23,POS,False
CON-013560,REG-013560,13560,C000775__TARJETA_CREDITO,C000775,Tarjeta de Crédito,2025-01-04,Supermarket,22.40,POS,False
CON-014175,REG-014175,14175,C000316__TARJETA_CREDITO,C000316,Tarjeta de Crédito,2025-01-04,Health,32.21,Branch,False
CON-015173,REG-015173,15173,C001434__TARJETA_CREDITO,C001434,Tarjeta de Crédito,2025-01-04,Fuel,30.58,POS,False
CON-016072,REG-016072,16072,C001919__TARJETA_CREDITO,C001919,Tarjeta de Crédito,2025-01-04,Health,138.57,POS,False
CON-018546,REG-018546,18546,C000680__TARJETA_CREDITO,C000680,Tarjeta de Crédito,2025-01-04,Technology,335.00,Web,True
CON-020162,REG-020162,20162,C000218__TARJETA_CREDITO,C000218,Tarjeta de Crédito,2025-01-04,Streaming,67.13,App,False
CON-020274,REG-020274,20274,C000670__TARJETA_CREDITO,C000670,Tarjeta de Crédito,2025-01-04,Entertainment,12.46,Branch,False
CON-020969,REG-020969,20969,C000487__TARJETA_CREDITO,C000487,Tarjeta de Crédito,2025-01-04,Education,40.79,Web,False
CON-021993,REG-021993,21993,C000566__TARJETA_CREDITO,C000566,Tarjeta de Crédito,2025-01-04,Others,44.49,App,False
CON-022247,REG-022247,22247,C000321__TARJETA_CREDITO,C000321,Tarjeta de Crédito,2025-01-04,Supermarket,14.28,POS,False
CON-000742,REG-000742,742,C000597__TARJETA_CREDITO,C000597,Tarjeta de Crédito,2025-01-05,Streaming,145.98,App,False
CON-002684,REG-002684,2684,C000583__TARJETA_CREDITO,C000583,Tarjeta de Crédito,2025-01-05,Food,58.37,App,False
CON-003615,REG-003615,3615,C000064__TARJETA_CREDITO,C000064,Tarjeta de Crédito,2025-01-05,Technology,376.89,POS,True
CON-003669,REG-003669,3669,C000753__TARJETA_CREDITO,C000753,Tarjeta de Crédito,2025-01-05,Entertainment,25.40,POS,False
CON-005224,REG-005224,5224,C001676__TARJETA_CREDITO,C001676,Tarjeta de Crédito,2025-01-05,Travel,42.96,Branch,False
CON-005928,REG-005928,5928,C001170__TARJETA_CREDITO,C001170,Tarjeta de Crédito,2025-01-05,Health,23.35,POS,False
CON-007192,REG-007192,7192,C001143__TARJETA_CREDITO,C001143,Tarjeta de Crédito,2025-01-05,Fuel,419.79,POS,True
CON-007699,REG-007699,7699,C001277__TARJETA_CREDITO,C001277,Tarjeta de Crédito,2025-01-05,Food,210.96,Web,False
CON-007727,REG-007727,7727,C000397__TARJETA_CREDITO,C000397,Tarjeta de Crédito,2025-01-05,Fuel,356.22,App,True
CON-007792,REG-007792,7792,C000349__TARJETA_CREDITO,C000349,Tarjeta de Crédito,2025-01-05,Streaming,83.32,Branch,False
CON-007939,REG-007939,7939,C001105__TARJETA_CREDITO,C001105,Tarjeta de Crédito,2025-01-05,Education,37.67,Web,False
CON-009299,REG-009299,9299,C001509__TARJETA_CREDITO,C001509,Tarjeta de Crédito,2025-01-05,Others,59.10,Web,False
CON-009572,REG-009572,9572,C001276__TARJETA_CREDITO,C001276,Tarjeta de Crédito,2025-01-05,Travel,103.23,Web,False
CON-011939,REG-011939,11939,C002052__TARJETA_CREDITO,C002052,Tarjeta de Crédito,2025-01-05,Entertainment,57.16,App,False
CON-012156,REG-012156,12156,C001395__TARJETA_CREDITO,C001395,Tarjeta de Crédito,2025-01-05,Technology,18.39,POS,False
CON-012216,REG-012216,12216,C002087__TARJETA_CREDITO,C002087,Tarjeta de Crédito,2025-01-05,Streaming,44.82,POS,False
CON-013275,REG-013275,13275,C002150__TARJETA_CREDITO,C002150,Tarjeta de Crédito,2025-01-05,Travel,46.74,POS,False
CON-013495,REG-013495,13495,C001195__TARJETA_CREDITO,C001195,Tarjeta de Crédito,2025-01-05,Supermarket,170.50,App,False
CON-016292,REG-016292,16292,C000703__TARJETA_CREDITO,C000703,Tarjeta de Crédito,2025-01-05,Fuel,68.26,Web,False
CON-016298,REG-016298,16298,C000237__TARJETA_CREDITO,C000237,Tarjeta de Crédito,2025-01-05,Technology,142.96,POS,False
CON-017061,REG-017061,17061,C002070__TARJETA_CREDITO,C002070,Tarjeta de Crédito,2025-01-05,Travel,15.24,POS,False
CON-019830,REG-019830,19830,C000321__TARJETA_CREDITO,C000321,Tarjeta de Crédito,2025-01-05,Food,24.75,App,False
CON-020083,REG-020083,20083,C000651__TARJETA_CREDITO,C000651,Tarjeta de Crédito,2025-01-05,Technology,27.56,POS,False
CON-020811,REG-020811,20811,C000383__TARJETA_CREDITO,C000383,Tarjeta de Crédito,2025-01-05,Technology,29.41,App,False
CON-021198,REG-021198,21198,C000376__TARJETA_CREDITO,C000376,Tarjeta de Crédito,2025-01-05,Others,39.01,POS,False
CON-002260,REG-002260,2260,C000643__TARJETA_CREDITO,C000643,Tarjeta de Crédito,2025-01-06,Travel,74.46,App,False
CON-003318,REG-003318,3318,C001571__TARJETA_CREDITO,C001571,Tarjeta de Crédito,2025-01-06,Fuel,115.30,POS,False
CON-003375,REG-003375,3375,C001269__TARJETA_CREDITO,C001269,Tarjeta de Crédito,2025-01-06,Technology,71.02,Web,False
CON-006246,REG-006246,6246,C000646__TARJETA_CREDITO,C000646,Tarjeta de Crédito,2025-01-06,Streaming,34.24,POS,False
CON-006779,REG-006779,6779,C001420__TARJETA_CREDITO,C001420,Tarjeta de Crédito,2025-01-06,Streaming,99.43,POS,False
CON-007042,REG-007042,7042,C000809__TARJETA_CREDITO,C000809,Tarjeta de Crédito,2025-01-06,Education,67.52,POS,False
CON-007329,REG-007329,7329,C001379__TARJETA_CREDITO,C001379,Tarjeta de Crédito,2025-01-06,Streaming,284.68,Branch,False
CON-007695,REG-007695,7695,C001598__TARJETA_CREDITO,C001598,Tarjeta de Crédito,2025-01-06,Streaming,259.17,POS,False
CON-009019,REG-009019,9019,C001507__TARJETA_CREDITO,C001507,Tarjeta de Crédito,2025-01-06,Travel,41.44,POS,False
CON-010281,REG-010281,10281,C000802__TARJETA_CREDITO,C000802,Tarjeta de Crédito,2025-01-06,Supermarket,143.03,App,False
CON-011462,REG-011462,11462,C001414__TARJETA_CREDITO,C001414,Tarjeta de Crédito,2025-01-06,Education,192.10,POS,False
CON-012421,REG-012421,12421,C001587__TARJETA_CREDITO,C001587,Tarjeta de Crédito,2025-01-06,Education,447.09,Branch,True
CON-015199,REG-015199,15199,C001997__TARJETA_CREDITO,C001997,Tarjeta de Crédito,2025-01-06,Streaming,123.64,POS,False
CON-016824,REG-016824,16824,C001460__TARJETA_CREDITO,C001460,Tarjeta de Crédito,2025-01-06,Streaming,165.15,App,False
CON-017530,REG-017530,17530,C000581__TARJETA_CREDITO,C000581,Tarjeta de Crédito,2025-01-06,Supermarket,244.38,Branch,False
CON-018349,REG-018349,18349,C001385__TARJETA_CREDITO,C001385,Tarjeta de Crédito,2025-01-06,Fuel,135.01,Web,False
CON-019335,REG-019335,19335,C001330__TARJETA_CREDITO,C001330,Tarjeta de Crédito,2025-01-06,Supermarket,39.13,POS,False
CON-020369,REG-020369,20369,C000380__TARJETA_CREDITO,C000380,Tarjeta de Crédito,2025-01-06,Travel,167.12,POS,False
CON-020439,REG-020439,20439,C002135__TARJETA_CREDITO,C002135,Tarjeta de Crédito,2025-01-06,Entertainment,87.51,App,False
CON-020463,REG-020463,20463,C001323__TARJETA_CREDITO,C001323,Tarjeta de Crédito,2025-01-06,Fuel,25.85,App,False
CON-000310,REG-000310,310,C001941__TARJETA_CREDITO,C001941,Tarjeta de Crédito,2025-01-07,Education,50.50,POS,False
CON-000618,REG-000618,618,C001154__TARJETA_CREDITO,C001154,Tarjeta de Crédito,2025-01-07,Entertainment,194.49,Web,False
CON-005668,REG-005668,5668,C001001__TARJETA_CREDITO,C001001,Tarjeta de Crédito,2025-01-07,Education,20.92,POS,False
CON-005943,REG-005943,5943,C001478__TARJETA_CREDITO,C001478,Tarjeta de Crédito,2025-01-07,Technology,116.54,Web,False
CON-008254,REG-008254,8254,C000575__TARJETA_CREDITO,C000575,Tarjeta de Crédito,2025-01-07,Travel,9.55,Web,False
CON-008462,REG-008462,8462,C000947__TARJETA_CREDITO,C000947,Tarjeta de Crédito,2025-01-07,Food,509.28,App,True
CON-010072,REG-010072,10072,C001949__TARJETA_CREDITO,C001949,Tarjeta de Crédito,2025-01-07,Travel,15.78,POS,False
CON-011186,REG-011186,11186,C002100__TARJETA_CREDITO,C002100,Tarjeta de Crédito,2025-01-07,Education,90.89,POS,False
CON-017356,REG-017356,17356,C000290__TARJETA_CREDITO,C000290,Tarjeta de Crédito,2025-01-07,Food,7.82,App,False
CON-018163,REG-018163,18163,C001204__TARJETA_CREDITO,C001204,Tarjeta de Crédito,2025-01-07,Others,94.96,POS,False
CON-018290,REG-018290,18290,C000775__TARJETA_CREDITO,C000775,Tarjeta de Crédito,2025-01-07,Supermarket,49.60,Branch,False
CON-018321,REG-018321,18321,C000349__TARJETA_CREDITO,C000349,Tarjeta de Crédito,2025-01-07,Food,112.03,Web,False
CON-018356,REG-018356,18356,C000816__TARJETA_CREDITO,C000816,Tarjeta de Crédito,2025-01-07,Streaming,462.61,POS,True
CON-020228,REG-020228,20228,C001134__TARJETA_CREDITO,C001134,Tarjeta de Crédito,2025-01-07,Streaming,38.28,Branch,False
CON-020611,REG-020611,20611,C000700__TARJETA_CREDITO,C000700,Tarjeta de Crédito,2025-01-07,Others,82.87,POS,False
CON-001473,REG-001473,1473,C001373__TARJETA_CREDITO,C001373,Tarjeta de Crédito,2025-01-08,Health,37.99,App,False
CON-001714,REG-001714,1714,C000425__TARJETA_CREDITO,C000425,Tarjeta de Crédito,2025-01-08,Travel,63.92,Branch,False
CON-002751,REG-002751,2751,C001894__TARJETA_CREDITO,C001894,Tarjeta de Crédito,2025-01-08,Others,204.55,POS,False
CON-002753,REG-002753,2753,C001532__TARJETA_CREDITO,C001532,Tarjeta de Crédito,2025-01-08,Food,56.43,POS,False
CON-005169,REG-005169,5169,C001054__TARJETA_CREDITO,C001054,Tarjeta de Crédito,2025-01-08,Supermarket,18.04,Branch,False
CON-005751,REG-005751,5751,C001737__TARJETA_CREDITO,C001737,Tarjeta de Crédito,2025-01-08,Travel,181.84,POS,False
CON-007051,REG-007051,7051,C001129__TARJETA_CREDITO,C001129,Tarjeta de Crédito,2025-01-08,Entertainment,67.69,POS,False
CON-007248,REG-007248,7248,C000059__TARJETA_CREDITO,C000059,Tarjeta de Crédito,2025-01-08,Technology,596.98,Web,True
CON-007366,REG-007366,7366,C000337__TARJETA_CREDITO,C000337,Tarjeta de Crédito,2025-01-08,Health,58.23,Branch,False
CON-007724,REG-007724,7724,C000906__TARJETA_CREDITO,C000906,Tarjeta de Crédito,2025-01-08,Health,141.90,Web,False
CON-007766,REG-007766,7766,C000266__TARJETA_CREDITO,C000266,Tarjeta de Crédito,2025-01-08,Health,34.15,POS,False
CON-008867,REG-008867,8867,C000790__TARJETA_CREDITO,C000790,Tarjeta de Crédito,2025-01-08,Food,54.00,POS,False
CON-012785,REG-012785,12785,C000888__TARJETA_CREDITO,C000888,Tarjeta de Crédito,2025-01-08,Health,255.54,POS,False
CON-013156,REG-013156,13156,C001358__TARJETA_CREDITO,C001358,Tarjeta de Crédito,2025-01-08,Technology,53.94,POS,False
CON-013538,REG-013538,13538,C000690__TARJETA_CREDITO,C000690,Tarjeta de Crédito,2025-01-08,Streaming,96.27,POS,False
CON-014033,REG-014033,14033,C000511__TARJETA_CREDITO,C000511,Tarjeta de Crédito,2025-01-08,Education,168.30,POS,False
CON-014167,REG-014167,14167,C001382__TARJETA_CREDITO,C001382,Tarjeta de Crédito,2025-01-08,Education,156.47,POS,False
CON-014178,REG-014178,14178,C000361__TARJETA_CREDITO,C000361,Tarjeta de Crédito,2025-01-08,Travel,156.52,POS,False
CON-015205,REG-015205,15205,C000147__TARJETA_CREDITO,C000147,Tarjeta de Crédito,2025-01-08,Technology,602.49,Web,True
CON-018070,REG-018070,18070,C000381__TARJETA_CREDITO,C000381,Tarjeta de Crédito,2025-01-08,Technology,69.35,POS,False
CON-018759,REG-018759,18759,C000239__TARJETA_CREDITO,C000239,Tarjeta de Crédito,2025-01-08,Others,850.82,POS,True
CON-019258,REG-019258,19258,C000320__TARJETA_CREDITO,C000320,Tarjeta de Crédito,2025-01-08,Technology,1152.81,Branch,True
CON-020580,REG-020580,20580,C001983__TARJETA_CREDITO,C001983,Tarjeta de Crédito,2025-01-08,Technology,96.11,POS,False
CON-021554,REG-021554,21554,C000896__TARJETA_CREDITO,C000896,Tarjeta de Crédito,2025-01-08,Streaming,65.29,App,False
CON-021601,REG-021601,21601,C000987__TARJETA_CREDITO,C000987,Tarjeta de Crédito,2025-01-08,Travel,235.95,POS,False
CON-022154,REG-022154,22154,C000557__TARJETA_CREDITO,C000557,Tarjeta de Crédito,2025-01-08,Entertainment,238.27,Branch,False
CON-022403,REG-022403,22403,C001997__TARJETA_CREDITO,C001997,Tarjeta de Crédito,2025-01-08,Entertainment,25.36,POS,False
CON-022417,REG-022417,22417,C000515__TARJETA_CREDITO,C000515,Tarjeta de Crédito,2025-01-08,Food,57.86,App,False
CON-000057,REG-000057,57,C000600__TARJETA_CREDITO,C000600,Tarjeta de Crédito,2025-01-09,Travel,11.77,POS,False
CON-001305,REG-001305,1305,C001768__TARJETA_CREDITO,C001768,Tarjeta de Crédito,2025-01-09,Streaming,33.20,POS,False
CON-001803,REG-001803,1803,C000397__TARJETA_CREDITO,C000397,Tarjeta de Crédito,2025-01-09,Travel,99.21,Branch,False
CON-002386,REG-002386,2386,C002018__TARJETA_CREDITO,C002018,Tarjeta de Crédito,2025-01-09,Others,165.84,Web,False
CON-003400,REG-003400,3400,C000456__TARJETA_CREDITO,C000456,Tarjeta de Crédito,2025-01-09,Technology,70.74,Web,False
CON-004374,REG-004374,4374,C001262__TARJETA_CREDITO,C001262,Tarjeta de Crédito,2025-01-09,Streaming,233.23,App,False
CON-004461,REG-004461,4461,C002020__TARJETA_CREDITO,C002020,Tarjeta de Crédito,2025-01-09,Education,25.04,App,False
CON-004599,REG-004599,4599,C001150__TARJETA_CREDITO,C001150,Tarjeta de Crédito,2025-01-09,Technology,113.26,App,False
CON-004984,REG-004984,4984,C001939__TARJETA_CREDITO,C001939,Tarjeta de Crédito,2025-01-09,Supermarket,9.75,POS,False
CON-005500,REG-005500,5500,C000408__TARJETA_CREDITO,C000408,Tarjeta de Crédito,2025-01-09,Supermarket,57.65,POS,False
CON-008454,REG-008454,8454,C000808__TARJETA_CREDITO,C000808,Tarjeta de Crédito,2025-01-09,Travel,25.32,App,False
CON-008529,REG-008529,8529,C000149__TARJETA_CREDITO,C000149,Tarjeta de Crédito,2025-01-09,Food,32.07,POS,False
CON-009602,REG-009602,9602,C000292__TARJETA_CREDITO,C000292,Tarjeta de Crédito,2025-01-09,Supermarket,21.76,App,False
CON-009722,REG-009722,9722,C001587__TARJETA_CREDITO,C001587,Tarjeta de Crédito,2025-01-09,Education,136.37,POS,False
CON-010608,REG-010608,10608,C001103__TARJETA_CREDITO,C001103,Tarjeta de Crédito,2025-01-09,Health,28.63,POS,False
CON-011239,REG-011239,11239,C000180__TARJETA_CREDITO,C000180,Tarjeta de Crédito,2025-01-09,Food,81.25,Web,False
CON-012428,REG-012428,12428,C001701__TARJETA_CREDITO,C001701,Tarjeta de Crédito,2025-01-09,Health,51.40,POS,False
CON-012594,REG-012594,12594,C000583__TARJETA_CREDITO,C000583,Tarjeta de Crédito,2025-01-09,Food,124.56,App,False
CON-013733,REG-013733,13733,C000252__TARJETA_CREDITO,C000252,Tarjeta de Crédito,2025-01-09,Travel,320.96,Web,False
CON-014602,REG-014602,14602,C001002__TARJETA_CREDITO,C001002,Tarjeta de Crédito,2025-01-09,Fuel,3.59,POS,False
CON-015790,REG-015790,15790,C000431__TARJETA_CREDITO,C000431,Tarjeta de Crédito,2025-01-09,Food,102.85,POS,False
CON-018169,REG-018169,18169,C001035__TARJETA_CREDITO,C001035,Tarjeta de Crédito,2025-01-09,Travel,78.98,POS,False
CON-019622,REG-019622,19622,C001484__TARJETA_CREDITO,C001484,Tarjeta de Crédito,2025-01-09,Fuel,252.34,Branch,False
CON-019814,REG-019814,19814,C000420__TARJETA_CREDITO,C000420,Tarjeta de Crédito,2025-01-09,Fuel,13.19,POS,False
CON-020424,REG-020424,20424,C002180__TARJETA_CREDITO,C002180,Tarjeta de Crédito,2025-01-09,Supermarket,18.13,POS,False
CON-020654,REG-020654,20654,C001957__TARJETA_CREDITO,C001957,Tarjeta de Crédito,2025-01-09,Travel,40.33,App,False
