cliente_producto_id,cliente_id,producto,tipo_producto,saldo_producto,saldo_desconocido,saldo_negativo,saldo_outlier_iqr,cupo_credito,fecha_vencimiento,estado_producto,fecha_primer_registro,fecha_ultimo_registro,cantidad_registros
C000009__CTA_CORRIENTE,C000009,Cuenta Corriente,Depósito,405.61,False,False,False,,,Activo,2025-09-11,2026-06-18,4
C000009__CTA_AHORROS,C000009,Cuenta de Ahorros,Depósito,229.63,False,False,False,,,Activo,2025-02-21,2026-07-27,4
C000009__TARJETA_CREDITO,C000009,Tarjeta de Crédito,Deuda,18.03,False,False,False,500.00,2028-01-09,Activo,2025-01-21,2026-07-06,8
C000010__CREDITO_CONSUMO,C000010,Crédito de Consumo,Deuda,4608.41,False,False,False,,2031-06-23,Activo,2025-03-25,2026-07-07,2
C000010__TARJETA_CREDITO,C000010,Tarjeta de Crédito,Deuda,270.43,False,False,False,2000.00,2027-12-19,Activo,2025-02-12,2026-08-16,14
C000011__CTA_CORRIENTE,C000011,Cuenta Corriente,Depósito,4164.41,False,False,False,,,Activo,2025-01-18,2026-07-23,4
C000012__CREDITO_HIPOTECARIO,C000012,Crédito Hipotecario,Deuda,44442.56,False,False,False,,2029-04-12,Activo,2026-01-25,2026-08-26,3
C000012__TARJETA_CREDITO,C000012,Tarjeta de Crédito,Deuda,808.79,False,False,False,1400.00,2028-02-12,Activo,2025-01-13,2026-07-01,7
C000013__CREDITO_HIPOTECARIO,C000013,Crédito Hipotecario,Deuda,75873.07,False,False,False,,2029-05-14,Activo,2025-07-22,2026-08-27,2
C000013__CTA_CORRIENTE,C000013,Cuenta Corriente,Depósito,1660.39,False,False,False,,,Activo,2025-08-26,2026-04-27,4
C000013__TARJETA_CREDITO,C000013,Tarjeta de Crédito,Deuda,101.59,False,False,False,1500.00,2027-07-04,Activo,2025-03-03,2026-08-13,5
C000014__CREDITO_HIPOTECARIO,C000014,Crédito Hipotecario,Deuda,67695.58,False,False,False,,2032-01-17,Activo,2026-04-13,2026-04-13,1
C000014__CREDITO_CONSUMO,C000014,Crédito de Consumo,Deuda,3003.83,False,False,False,,2030-06-12,Activo,2026-02-15,2026-05-23,2
C000014__TARJETA_CREDITO,C000014,Tarjeta de Crédito,Deuda,0.00,False,False,False,1500.00,2029-04-04,Activo,2025-04-27,2026-05-26,5
C000015__CREDITO_VEHICULAR,C000015,Crédito Vehicular,Deuda,28136.84,False,False,False,,2032-03-28,Activo,2026-04-03,2026-04-03,1
C000015__TARJETA_CREDITO,C000015,Tarjeta de Crédito,Deuda,268.15,False,False,False,800.00,2029-10-20,Activo,2025-04-13,2026-08-09,12
C000016__CREDITO_VEHICULAR,C000016,Crédito Vehicular,Deuda,5235.56,False,False,False,,2031-07-04,Activo,2025-09-14,2026-01-29,3
C000016__TARJETA_CREDITO,C000016,Tarjeta de Crédito,Deuda,153.13,False,False,False,800.00,2028-05-13,Activo,2025-01-23,2026-03-28,8
C000017__CREDITO_VEHICULAR,C000017,Crédito Vehicular,Deuda,10897.34,False,False,False,,2029-09-08,Activo,2025-08-28,2026-01-26,3
C000017__TARJETA_CREDITO,C000017,Tarjeta de Crédito,Deuda,804.20,False,False,False,1400.00,2029-11-08,Activo,2025-01-22,2026-07-22,9
C000018__CTA_AHORROS,C000018,Cuenta de Ahorros,Depósito,1449.17,False,False,False,,,Activo,2025-06-28,2026-08-26,2
C000018__TARJETA_CREDITO,C000018,Tarjeta de Crédito,Deuda,146.18,False,False,False,600.00,2027-01-24,Activo,2025-02-01,2026-07-19,11
C000019__CREDITO_CONSUMO,C000019,Crédito de Consumo,Deuda,6039.88,False,False,False,,2027-04-29,Activo,2025-11-16,2026-08-15,2
C000019__TARJETA_CREDITO,C000019,Tarjeta de Crédito,Deuda,559.20,False,False,False,2200.00,2029-05-30,Activo,2025-01-27,2025-10-07,7
C000020__CREDITO_HIPOTECARIO,C000020,Crédito Hipotecario,Deuda,66799.32,False,False,False,,2032-03-16,Activo,2025-02-26,2026-02-09,3
C000020__CREDITO_CONSUMO,C000020,Crédito de Consumo,Deuda,6325.19,False,False,False,,2032-06-29,Activo,2025-12-20,2025-12-20,1
C000020__TARJETA_CREDITO,C000020,Tarjeta de Crédito,Deuda,624.74,False,False,False,1000.00,2027-11-22,Activo,2025-05-13,2026-03-24,6
C000021__TARJETA_CREDITO,C000021,Tarjeta de Crédito,Deuda,670.79,False,False,False,2200.00,2030-05-20,Activo,2025-03-17,2026-08-17,5
C000022__CREDITO_CONSUMO,C000022,Crédito de Consumo,Deuda,5181.31,False,False,False,,2030-08-07,Activo,2025-03-28,2026-03-25,3
C000022__CTA_AHORROS,C000022,Cuenta de Ahorros,Depósito,390.04,False,False,False,,,Activo,2025-11-26,2026-05-29,2
C000023__CREDITO_HIPOTECARIO,C000023,Crédito Hipotecario,Deuda,69170.26,False,False,False,,2027-10-23,Activo,2025-06-03,2026-08-20,3
C000023__CREDITO_VEHICULAR,C000023,Crédito Vehicular,Deuda,16141.26,False,False,False,,2030-09-02,Activo,2025-03-28,2026-02-06,2
C000023__CTA_AHORROS,C000023,Cuenta de Ahorros,Depósito,580.16,False,False,False,,,Activo,2026-03-10,2026-06-24,2
C000024__CTA_CORRIENTE,C000024,Cuenta Corriente,Depósito,839.32,False,False,False,,,Activo,2025-12-11,2025-12-11,1
C000024__TARJETA_CREDITO,C000024,Tarjeta de Crédito,Deuda,868.21,False,False,False,1300.00,2030-01-21,Activo,2025-06-07,2026-06-25,10
C000025__CREDITO_CONSUMO,C000025,Crédito de Consumo,Deuda,3388.62,False,False,False,,2032-08-31,Activo,2025-04-24,2025-09-01,2
C000025__CTA_CORRIENTE,C000025,Cuenta Corriente,Depósito,-31.96,False,True,False,,,Activo,2025-03-23,2025-03-23,1
C000025__TARJETA_CREDITO,C000025,Tarjeta de Crédito,Deuda,220.59,False,False,False,500.00,2029-01-22,Activo,2025-02-18,2026-08-19,14
C000026__TARJETA_CREDITO,C000026,Tarjeta de Crédito,Deuda,1029.30,False,False,False,1700.00,2029-02-04,Activo,2025-02-05,2026-08-04,6
C000027__CTA_AHORROS,C000027,Cuenta de Ahorros,Depósito,5850.03,False,False,False,,,Activo,2025-03-08,2025-11-24,4
C000027__TARJETA_CREDITO,C000027,Tarjeta de Crédito,Deuda,884.62,False,False,False,4000.00,2030-04-14,Activo,2025-05-08,2026-07-19,6
C000028__CREDITO_VEHICULAR,C000028,Crédito Vehicular,Deuda,11850.61,False,False,False,,2027-10-18,Activo,2025-06-22,2026-08-18,3
C000028__TARJETA_CREDITO,C000028,Tarjeta de Crédito,Deuda,229.03,False,False,False,1700.00,2026-11-13,Activo,2025-02-16,2026-08-09,5
C000029__CTA_AHORROS,C000029,Cuenta de Ahorros,Depósito,2335.50,False,False,False,,,Activo,2025-06-13,2026-08-15,4
C000029__TARJETA_CREDITO,C000029,Tarjeta de Crédito,Deuda,124.73,False,False,False,1300.00,2028-06-08,Activo,2025-01-24,2026-08-21,11
C000030__CREDITO_CONSUMO,C000030,Crédito de Consumo,Deuda,1549.10,False,False,False,,2029-04-20,Activo,2025-02-22,2026-01-25,3
C000030__TARJETA_CREDITO,C000030,Tarjeta de Crédito,Deuda,0.00,False,False,False,2400.00,2026-11-19,Activo,2025-04-23,2026-08-24,13
C000031__CREDITO_VEHICULAR,C000031,Crédito Vehicular,Deuda,33426.48,False,False,False,,2027-03-02,Activo,2026-03-04,2026-03-04,1
C000031__TARJETA_CREDITO,C000031,Tarjeta de Crédito,Deuda,2138.21,False,False,False,2300.00,2028-12-07,Activo,2025-05-18,2026-05-05,11
C000032__CREDITO_VEHICULAR,C000032,Crédito Vehicular,Deuda,23967.69,False,False,False,,2030-10-21,Activo,2026-08-01,2026-08-01,1
C000033__CREDITO_CONSUMO,C000033,Crédito de Consumo,Deuda,3535.85,False,False,False,,2031-09-29,Activo,2026-04-10,2026-04-10,1
C000033__CTA_CORRIENTE,C000033,Cuenta Corriente,Depósito,9548.68,False,False,False,,,Activo,2025-02-16,2025-02-16,1
C000033__CTA_AHORROS,C000033,Cuenta de Ahorros,Depósito,7015.09,False,False,False,,,Activo,2025-11-12,2026-07-27,4
C000034__CTA_CORRIENTE,C000034,Cuenta Corriente,Depósito,18395.55,False,False,True,,,Activo,2026-01-19,2026-07-07,4
C000035__CREDITO_HIPOTECARIO,C000035,Crédito Hipotecario,Deuda,66084.34,False,False,False,,2028-01-06,Activo,2026-03-06,2026-03-06,1
C000035__CTA_CORRIENTE,C000035,Cuenta Corriente,Depósito,3740.02,False,False,False,,,Activo,2025-11-23,2026-02-23,3
C000035__CTA_AHORROS,C000035,Cuenta de Ahorros,Depósito,793.09,False,False,False,,,Activo,2025-06-08,2025-09-11,2
C000035__TARJETA_CREDITO,C000035,Tarjeta de Crédito,Deuda,3328.34,False,False,True,7500.00,2027-01-31,Activo,2025-02-04,2026-07-25,5
C000036__CREDITO_HIPOTECARIO,C000036,Crédito Hipotecario,Deuda,51116.20,False,False,False,,2028-11-09,Activo,2025-08-02,2026-07-27,3
C000036__CREDITO_VEHICULAR,C000036,Crédito Vehicular,Deuda,20030.07,False,False,False,,2028-04-02,Activo,2025-09-06,2025-12-05,2
C000036__CREDITO_CONSUMO,C000036,Crédito de Consumo,Deuda,7195.29,False,False,False,,2027-10-14,Activo,2025-02-10,2026-01-22,3
C000036__TARJETA_CREDITO,C000036,Tarjeta de Crédito,Deuda,1732.13,False,False,False,4800.00,2027-05-14,Activo,2025-02-16,2026-08-22,11
C000037__CREDITO_VEHICULAR,C000037,Crédito Vehicular,Deuda,25727.93,False,False,False,,2031-05-12,Activo,2025-01-18,2025-01-18,1
C000037__CREDITO_CONSUMO,C000037,Crédito de Consumo,Deuda,14596.07,False,False,False,,2029-10-30,Activo,2025-07-03,2026-03-17,3
C000038__CREDITO_CONSUMO,C000038,Crédito de Consumo,Deuda,6299.01,False,False,False,,2029-06-23,Activo,2025-02-02,2025-08-20,3
C000038__TARJETA_CREDITO,C000038,Tarjeta de Crédito,Deuda,345.44,False,False,False,1300.00,2026-10-05,Activo,2025-03-26,2026-08-04,6
C000039__CTA_CORRIENTE,C000039,Cuenta Corriente,Depósito,2538.48,False,False,False,,,Activo,2025-10-07,2026-04-07,4
C000040__CTA_CORRIENTE,C000040,Cuenta Corriente,Depósito,1972.09,False,False,False,,,Activo,2025-04-20,2026-02-03,2
C000041__CREDITO_HIPOTECARIO,C000041,Crédito Hipotecario,Deuda,63176.59,False,False,False,,2029-06-21,Activo,2025-10-03,2026-06-18,3
C000041__CTA_AHORROS,C000041,Cuenta de Ahorros,Depósito,98.89,False,False,False,,,Activo,2025-03-28,2026-02-28,3
C000041__TARJETA_CREDITO,C000041,Tarjeta de Crédito,Deuda,632.34,False,False,False,1200.00,2029-01-25,Activo,2025-05-20,2026-05-18,8
C000042__CREDITO_HIPOTECARIO,C000042,Crédito Hipotecario,Deuda,113439.64,False,False,False,,2032-06-06,Activo,2026-01-04,2026-07-04,3
C000042__CREDITO_CONSUMO,C000042,Crédito de Consumo,Deuda,21540.03,False,False,False,,2031-06-30,Activo,2025-03-17,2026-05-06,2
C000042__CTA_CORRIENTE,C000042,Cuenta Corriente,Depósito,22781.68,False,False,True,,,Activo,2025-02-15,2025-12-30,2
C000043__CTA_AHORROS,C000043,Cuenta de Ahorros,Depósito,360.47,False,False,False,,,Activo,2026-04-02,2026-04-20,2
C000043__TARJETA_CREDITO,C000043,Tarjeta de Crédito,Deuda,909.98,False,False,False,2900.00,2029-07-06,Activo,2025-03-29,2026-05-10,6
C000044__CREDITO_HIPOTECARIO,C000044,Crédito Hipotecario,Deuda,63563.60,False,False,False,,2027-06-14,Activo,2025-04-15,2026-07-04,3
C000045__TARJETA_CREDITO,C000045,Tarjeta de Crédito,Deuda,655.79,False,False,False,1800.00,2030-06-26,Activo,2025-02-24,2026-08-28,8
C000046__CREDITO_CONSUMO,C000046,Crédito de Consumo,Deuda,7194.26,False,False,False,,2028-01-24,Activo,2025-08-03,2025-08-03,1
C000046__CTA_AHORROS,C000046,Cuenta de Ahorros,Depósito,231.01,False,False,False,,,Activo,2025-02-03,2025-12-23,4
C000046__TARJETA_CREDITO,C000046,Tarjeta de Crédito,Deuda,1452.95,False,False,False,2700.00,2028-09-03,Activo,2025-03-02,2026-08-19,13
C000047__CREDITO_HIPOTECARIO,C000047,Crédito Hipotecario,Deuda,66025.59,False,False,False,,2027-10-25,Activo,2025-08-07,2025-08-07,1
C000047__TARJETA_CREDITO,C000047,Tarjeta de Crédito,Deuda,300.00,False,False,False,800.00,2026-10-05,Activo,2025-03-14,2026-01-27,4
C000048__CTA_CORRIENTE,C000048,Cuenta Corriente,Depósito,7564.25,False,False,False,,,Activo,2025-03-28,2025-12-26,4
C000048__TARJETA_CREDITO,C000048,Tarjeta de Crédito,Deuda,2003.46,False,False,False,3800.00,2030-10-01,Activo,2025-02-25,2026-04-28,13
C000049__CREDITO_HIPOTECARIO,C000049,Crédito Hipotecario,Deuda,75545.87,False,False,False,,2029-10-05,Activo,2025-01-31,2026-03-16,3
C000050__CTA_CORRIENTE,C000050,Cuenta Corriente,Depósito,1752.68,False,False,False,,,Activo,2025-10-06,2026-02-07,3
C000050__TARJETA_CREDITO,C000050,Tarjeta de Crédito,Deuda,263.61,False,False,False,900.00,2029-12-04,Activo,2025-01-10,2026-06-27,14
C000051__TARJETA_CREDITO,C000051,Tarjeta de Crédito,Deuda,246.40,False,False,False,900.00,2027-05-19,Activo,2025-06-11,2025-12-31,5
C000052__CREDITO_HIPOTECARIO,C000052,Crédito Hipotecario,Deuda,37059.81,False,False,False,,2031-12-02,Activo,2025-06-22,2025-06-22,1
C000052__CREDITO_VEHICULAR,C000052,Crédito Vehicular,Deuda,8764.02,False,False,False,,2032-04-24,Activo,2026-01-27,2026-01-27,1
C000052__CTA_AHORROS,C000052,Cuenta de Ahorros,Depósito,211.20,False,False,False,,,Activo,2025-12-06,2025-12-06,1
C000052__TARJETA_CREDITO,C000052,Tarjeta de Crédito,Deuda,322.65,False,False,False,700.00,2027-11-29,Activo,2025-08-13,2026-08-03,6
C000053__CREDITO_HIPOTECARIO,C000053,Crédito Hipotecario,Deuda,65377.52,False,False,False,,2029-03-17,Activo,2025-06-27,2026-08-30,3
C000053__CTA_AHORROS,C000053,Cuenta de Ahorros,Depósito,3761.65,False,False,False,,,Activo,2025-12-27,2025-12-27,1
C000054__CREDITO_HIPOTECARIO,C000054,Crédito Hipotecario,Deuda,106481.42,False,False,False,,2029-01-03,Activo,2025-12-15,2025-12-15,1
C000054__CTA_AHORROS,C000054,Cuenta de Ahorros,Depósito,5639.86,False,False,False,,,Activo,2025-12-06,2025-12-06,1
C000054__TARJETA_CREDITO,C000054,Tarjeta de Crédito,Deuda,2658.23,False,False,False,6200.00,2026-10-30,Activo,2025-01-02,2026-08-24,6
C000055__TARJETA_CREDITO,C000055,Tarjeta de Crédito,Deuda,550.76,False,False,False,4500.00,2030-09-30,Activo,2025-02-19,2026-07-14,4
C000056__CREDITO_CONSUMO,C000056,Crédito de Consumo,Deuda,17959.08,False,False,False,,2031-05-04,Activo,2025-10-16,2026-07-22,3
C000056__CTA_AHORROS,C000056,Cuenta de Ahorros,Depósito,9956.65,False,False,False,,,Activo,2025-02-24,2025-07-30,2
C000057__CREDITO_HIPOTECARIO,C000057,Crédito Hipotecario,Deuda,91266.55,False,False,False,,2031-02-04,Activo,2026-01-15,2026-01-15,1
C000057__CTA_AHORROS,C000057,Cuenta de Ahorros,Depósito,2463.19,False,False,False,,,Activo,2025-03-25,2026-02-12,3
C000057__TARJETA_CREDITO,C000057,Tarjeta de Crédito,Deuda,607.65,False,False,False,2600.00,2029-03-16,Activo,2025-06-04,2026-07-09,4
C000058__CREDITO_HIPOTECARIO,C000058,Crédito Hipotecario,Deuda,,True,False,False,,2031-07-01,Activo,2026-03-22,2026-03-22,1
C000058__CREDITO_VEHICULAR,C000058,Crédito Vehicular,Deuda,18379.68,False,False,False,,2031-10-14,Activo,2025-06-21,2025-06-21,1
C000058__CTA_CORRIENTE,C000058,Cuenta Corriente,Depósito,4057.82,False,False,False,,,Activo,2025-03-10,2025-09-22,2
C000058__TARJETA_CREDITO,C000058,Tarjeta de Crédito,Deuda,0.00,False,False,False,6000.00,2029-08-15,Activo,2025-01-13,2026-08-09,11
C000059__CTA_CORRIENTE,C000059,Cuenta Corriente,Depósito,6126.79,False,False,False,,,Activo,2025-04-10,2026-07-26,4
C000059__TARJETA_CREDITO,C000059,Tarjeta de Crédito,Deuda,349.88,False,False,False,7600.00,2027-05-27,Activo,2025-01-08,2026-08-09,14
C000060__CTA_CORRIENTE,C000060,Cuenta Corriente,Depósito,7732.95,False,False,False,,,Activo,2025-12-06,2026-08-23,3
C000061__TARJETA_CREDITO,C000061,Tarjeta de Crédito,Deuda,1023.80,False,False,False,7700.00,2027-07-21,Activo,2025-04-01,2026-06-28,6
C000062__CREDITO_HIPOTECARIO,C000062,Crédito Hipotecario,Deuda,115012.42,False,False,False,,2026-12-18,Activo,2025-08-18,2025-08-18,1
C000062__CREDITO_VEHICULAR,C000062,Crédito Vehicular,Deuda,22488.79,False,False,False,,2028-04-01,Activo,2025-07-12,2026-05-17,2
C000062__TARJETA_CREDITO,C000062,Tarjeta de Crédito,Deuda,576.37,False,False,False,4500.00,2026-10-30,Activo,2025-04-03,2026-06-01,13
C000063__CREDITO_CONSUMO,C000063,Crédito de Consumo,Deuda,2259.79,False,False,False,,2031-01-27,Activo,2025-03-02,2026-05-05,3
C000063__TARJETA_CREDITO,C000063,Tarjeta de Crédito,Deuda,2039.87,False,False,False,3000.00,2029-05-31,Activo,2025-03-06,2026-08-14,13
C000064__CREDITO_HIPOTECARIO,C000064,Crédito Hipotecario,Deuda,48171.74,False,False,False,,2030-01-08,Activo,2025-04-19,2026-06-19,3
C000064__TARJETA_CREDITO,C000064,Tarjeta de Crédito,Deuda,5233.42,False,False,True,8100.00,2030-10-02,Activo,2025-01-05,2026-07-15,10
C000065__CREDITO_VEHICULAR,C000065,Crédito Vehicular,Deuda,14822.75,False,False,False,,2032-08-11,Activo,2025-01-26,2025-01-26,1
C000065__CREDITO_CONSUMO,C000065,Crédito de Consumo,Deuda,23017.10,False,False,False,,2030-05-14,Activo,2025-02-22,2026-08-10,3
C000065__TARJETA_CREDITO,C000065,Tarjeta de Crédito,Deuda,3248.79,False,False,False,6800.00,2027-08-11,Activo,2025-06-27,2026-04-09,8
C000066__CREDITO_CONSUMO,C000066,Crédito de Consumo,Deuda,3872.26,False,False,False,,2029-02-20,Activo,2025-10-28,2026-06-28,3
C000066__CTA_AHORROS,C000066,Cuenta de Ahorros,Depósito,-100.00,False,True,False,,,Activo,2025-04-28,2025-04-28,1
C000066__TARJETA_CREDITO,C000066,Tarjeta de Crédito,Deuda,429.30,False,False,False,2100.00,2030-04-23,Activo,2025-03-06,2026-07-13,13
C000067__CREDITO_VEHICULAR,C000067,Crédito Vehicular,Deuda,5316.98,False,False,False,,2027-09-14,Activo,2025-08-04,2025-12-19,2
C000067__TARJETA_CREDITO,C000067,Tarjeta de Crédito,Deuda,950.38,False,False,False,2400.00,2027-09-27,Activo,2025-03-10,2026-08-22,7
C000068__CTA_AHORROS,C000068,Cuenta de Ahorros,Depósito,7564.04,False,False,False,,,Activo,2025-01-20,2025-03-20,3
C000068__TARJETA_CREDITO,C000068,Tarjeta de Crédito,Deuda,2451.88,False,False,False,4700.00,2030-01-06,Activo,2025-02-07,2026-08-03,7
C000069__CREDITO_HIPOTECARIO,C000069,Crédito Hipotecario,Deuda,111590.17,False,False,False,,2027-08-15,Activo,2025-08-17,2025-12-28,3
C000069__TARJETA_CREDITO,C000069,Tarjeta de Crédito,Deuda,484.71,False,False,False,1100.00,2026-09-29,Activo,2025-01-17,2026-06-14,12
C000070__CREDITO_HIPOTECARIO,C000070,Crédito Hipotecario,Deuda,49991.70,False,False,False,,2027-03-27,Activo,2026-01-26,2026-06-27,3
C000071__CTA_CORRIENTE,C000071,Cuenta Corriente,Depósito,12333.97,False,False,False,,,Activo,2025-01-08,2026-01-20,4
C000072__CREDITO_VEHICULAR,C000072,Crédito Vehicular,Deuda,14639.41,False,False,False,,2031-03-16,Activo,2026-02-28,2026-02-28,1
C000072__TARJETA_CREDITO,C000072,Tarjeta de Crédito,Deuda,2205.14,False,False,False,4900.00,2027-09-17,Activo,2025-02-06,2026-07-27,9
C000073__CREDITO_HIPOTECARIO,C000073,Crédito Hipotecario,Deuda,72912.90,False,False,False,,2028-09-16,Activo,2025-03-16,2026-06-03,2
C000073__CREDITO_VEHICULAR,C000073,Crédito Vehicular,Deuda,19055.12,False,False,False,,2029-11-06,Activo,2025-07-19,2025-07-19,1
C000073__TARJETA_CREDITO,C000073,Tarjeta de Crédito,Deuda,4193.81,False,False,True,12300.00,2027-05-13,Activo,2025-08-14,2026-08-12,12
C000074__CREDITO_VEHICULAR,C000074,Crédito Vehicular,Deuda,19182.34,False,False,False,,2026-11-04,Activo,2025-08-04,2025-08-04,1
C000074__TARJETA_CREDITO,C000074,Tarjeta de Crédito,Deuda,109.91,False,False,False,1500.00,2027-10-04,Activo,2025-01-10,2026-08-05,12
C000075__CREDITO_CONSUMO,C000075,Crédito de Consumo,Deuda,13053.26,False,False,False,,2026-10-30,Activo,2025-09-13,2026-07-29,3
C000075__CTA_CORRIENTE,C000075,Cuenta Corriente,Depósito,-100.00,False,True,False,,,Activo,2025-03-23,2025-03-23,1
C000075__TARJETA_CREDITO,C000075,Tarjeta de Crédito,Deuda,739.84,False,False,False,4600.00,2028-06-25,Activo,2025-01-24,2026-08-01,14
C000076__CREDITO_VEHICULAR,C000076,Crédito Vehicular,Deuda,15941.24,False,False,False,,2029-10-06,Activo,2025-07-06,2025-07-12,2
C000077__CTA_CORRIENTE,C000077,Cuenta Corriente,Depósito,1366.92,False,False,False,,,Activo,2025-10-16,2025-10-16,1
C000077__TARJETA_CREDITO,C000077,Tarjeta de Crédito,Deuda,845.71,False,False,False,2800.00,2026-10-02,Activo,2025-02-13,2026-05-26,7
C000078__TARJETA_CREDITO,C000078,Tarjeta de Crédito,Deuda,510.37,False,False,False,1200.00,2028-01-26,Activo,2025-02-13,2025-05-09,4
C000079__CREDITO_HIPOTECARIO,C000079,Crédito Hipotecario,Deuda,69576.45,False,False,False,,2030-01-20,Activo,2025-07-11,2026-05-17,3
C000079__TARJETA_CREDITO,C000079,Tarjeta de Crédito,Deuda,929.83,False,False,False,1700.00,2029-10-25,Activo,2025-01-20,2026-05-25,6
C000080__CREDITO_HIPOTECARIO,C000080,Crédito Hipotecario,Deuda,55752.48,False,False,False,,2029-02-01,Activo,2025-03-04,2026-05-19,3
C000080__CREDITO_CONSUMO,C000080,Crédito de Consumo,Deuda,4135.28,False,False,False,,2030-11-09,Activo,2025-03-14,2025-03-14,1
C000080__TARJETA_CREDITO,C000080,Tarjeta de Crédito,Deuda,1357.32,False,False,False,2200.00,2030-09-05,Activo,2025-04-19,2025-09-30,4
C000081__CREDITO_HIPOTECARIO,C000081,Crédito Hipotecario,Deuda,93280.67,False,False,False,,2030-05-17,Activo,2025-08-08,2026-07-18,3
C000081__CREDITO_VEHICULAR,C000081,Crédito Vehicular,Deuda,14713.45,False,False,False,,2030-05-22,Activo,2026-02-27,2026-03-17,2
C000081__TARJETA_CREDITO,C000081,Tarjeta de Crédito,Deuda,758.20,False,False,False,1400.00,2028-12-07,Activo,2025-02-05,2025-11-06,4
C000082__CREDITO_HIPOTECARIO,C000082,Crédito Hipotecario,Deuda,93387.29,False,False,False,,2027-10-26,Activo,2025-02-27,2026-08-14,3
C000082__CTA_CORRIENTE,C000082,Cuenta Corriente,Depósito,614.51,False,False,False,,,Activo,2025-09-19,2025-09-19,1
C000082__CTA_AHORROS,C000082,Cuenta de Ahorros,Depósito,35.53,False,False,False,,,Activo,2025-05-04,2026-03-21,3
C000082__TARJETA_CREDITO,C000082,Tarjeta de Crédito,Deuda,365.86,False,False,False,2100.00,2026-10-09,Activo,2025-01-24,2026-08-13,14
C000083__CREDITO_HIPOTECARIO,C000083,Crédito Hipotecario,Deuda,69146.18,False,False,False,,2027-12-16,Activo,2025-10-27,2025-10-27,1
C000083__TARJETA_CREDITO,C000083,Tarjeta de Crédito,Deuda,459.05,False,False,False,1300.00,2030-09-08,Activo,2025-09-21,2026-04-14,5
C000084__CTA_CORRIENTE,C000084,Cuenta Corriente,Depósito,6327.50,False,False,False,,,Activo,2025-05-22,2026-07-10,4
C000084__TARJETA_CREDITO,C000084,Tarjeta de Crédito,Deuda,7566.66,False,False,True,13000.00,2027-06-19,Activo,2025-01-27,2026-06-30,10
C000085__CREDITO_HIPOTECARIO,C000085,Crédito Hipotecario,Deuda,72908.14,False,False,False,,2027-12-22,Activo,2025-02-13,2026-04-13,2
C000085__CREDITO_CONSUMO,C000085,Crédito de Consumo,Deuda,4024.26,False,False,False,,2031-01-06,Activo,2025-11-17,2026-08-09,3
